pretty_formula,material_id,band_gap
Sr(TbS2)2,mp-1193989,1.8161
YCu(MoO4)2,mp-559028,1.6797
NdNb3O9,mp-1173575,1.9653
CoB10H23C13,mp-1202054,1.5361
CdHOF,mp-1226809,1.8626
K2Mg(PSe3)2,mp-11643,1.6572
Fe2OF3,mp-758397,1.6847
Ag2Pb8Cl4O7,mp-667327,1.9106
Ag2H6PdS2(NO3)2,mp-1202149,1.8949
VOF2,mp-1273773,1.6474
ZnNiF6,mp-1391273,1.6071
Rb2TlBiBr6,mp-1114114,1.6711
AlSb(WO4)2,mp-1041645,1.5301999999999998
NaScGeP2SO12,mp-2712572,1.7359
Er2MgCr2O8,mp-2218438,1.5186000000000002
Na2UI4O15,mp-1191289,1.9628
Li3Fe8(BO3)8,mp-759585,1.6965
MgFe4O5F3,mp-2219422,1.8707
Na4Ti2Al2Si3(SO8)3,mp-2713582,1.5999
MgTi(GeO3)2,mp-1042857,1.5801999999999996
V3H8(NO4)2,mp-765962,1.9786
H10C3S3N,mp-558354,1.7681000000000002
LiCo2OF3,mp-759688,1.8332
Ga8Sb7Se8Cl29,mp-1203849,1.6847
KSb(PSe3)2,mp-7123,1.8059
LaSO,mp-28626,1.522899999999999
Sn2SI2,mp-23386,1.6146000000000005
Sr2CaV2(Si2O7)2,mp-1233650,1.7363000000000004
LiFe8(BO3)8,mp-761206,1.7294999999999998
AlV(WO4)2,mp-1042105,1.7233999999999998
K3V(PO4)2,mp-557046,1.9769
FeBiC6(N3O2)2,mp-818314,1.604
Li6NiOF6,mp-753281,1.941
Li4V2SiGeO10,mp-772830,1.9746
Pt(C4N3)2,mp-1246801,1.94
Ba2UZnO6,mp-1078725,1.7862999999999998
Ca2PI,mp-23040,1.6997000000000004
Ba2NdGaSe5,mp-1205363,1.6574000000000002
Na4TiZn3P2(SO6)4,mp-2713151,1.7720000000000002
LiFeP2O7,mp-26613,1.9077
Li2Fe5Si5O16,mp-767707,1.8341000000000005
BCl(OF2)2,mp-754459,1.5295999999999998
Ba5Ce4ZrO15,mp-1228741,1.8942
CaTiFe5O8,mp-1233259,1.8936
TlSb3(AsS4)2,mp-558174,1.5340000000000005
TeWO6,mp-1386832,1.6966
Sm6Th4O17,mp-675749,1.9227
MgFe2(SO5)2,mp-2228632,1.6802999999999997
Cd2Te2O7,mp-30940,1.7272999999999996
VPO4F,mp-1104878,1.5351
VZn(Si2O5)2,mp-1043518,1.6839999999999995
CsPrCdSe3,mp-11118,1.9664
Sr2PrBiO6,mp-1516905,1.8002000000000002
P4W3O14,mp-1041213,1.6079
Na2CdSnS4,mp-561075,1.925
Li4Cr3FeO8,mp-768805,1.9687
Co4Ge(CO)13,mp-652229,1.958
Mg30VCrO32,mp-1036803,1.7304999999999993
Cs4ZnO3,mp-1019612,1.6802
Zr(PS3)2,mp-8203,1.5351
RbInSe2,mp-31309,1.6462
Na2UTeO7,mp-1190512,1.8808
AgBiO2,mp-996968,1.6897000000000002
Rb2NbCuSe4,mp-15222,1.6393999999999995
KMgNi2H3(SeO5)2,mp-1233025,1.9805
Hg2Pb(SI)2,mp-557605,1.6317
VAgO3,mp-1178815,1.9488
O2,mp-1009490,1.6288
Li4NbFe(TeO6)2,mp-774933,1.7473999999999998
Zn2AsHO5,mp-721702,1.9675
LiAuC2,mp-29868,1.5321
Li5Mn2CoO8,mp-1174375,1.5785999999999998
Li6Fe5CoO12,mp-763920,1.5568999999999995
Na3Co2SbO6,mp-19087,1.9080000000000004
VAs2Pb2O9,mp-1208082,1.6845
NaNbO3,mp-4419,1.5604000000000002
Sc(NF2)3,mp-1209230,1.9149
SbPbBrO2,mp-1206466,1.8655
LiVPO4F,mp-1247560,1.9749
LiVSi4(HO6)2,mp-1256989,1.9548
LaSnP(SO6)2,mp-2713103,1.7751
NiO2,mp-35925,1.8142
LiVF5,mp-760031,1.9417
VZn2WO6,mp-1275144,1.7396999999999996
Ba2TbBiO6,mp-1520436,1.8106
Na2Fe2F7,mp-1203434,1.6826
UOF4,mp-17004,1.9526
HgS,mp-634,1.7204000000000002
Li7Mn2(CoO4)3,mp-1174502,1.6012999999999995
MgCrAsO5,mp-1340889,1.6090000000000004
Gd2VFeO6,mp-1225231,1.6075
Li3VBPO7,mp-768575,1.9572
Ca2AlSnO5,mp-1251151,1.6406
Mg2NiH4,mp-697331,1.5719
KZnBr3O2,mp-1193013,1.8995
MgSn2WO6,mp-1519158,1.9784
BaV2(PO5)2,mp-19512,1.9897
MgMn(Ni3O4)2,mp-2233064,1.5885999999999996
LaMg30BO32,mp-1039913,1.9868000000000008
K2NaTlCl6,mp-1111616,1.9894
Li5Cu(PO4)2,mp-773438,1.6448999999999998
Cr4AgBiO14,mp-23565,1.7973
CaYCu3Se4,mp-1181927,1.6731000000000005
LiFe2(BO3)2,mp-759537,1.6146
SnP2O7,mp-1041027,1.8744
SbICl8,mp-569512,1.5838
BaNaNdSeO6,mp-1520207,1.8961
KBaAsSe3,mp-1191826,1.6299
YCuPbS3,mp-865203,1.594799999999999
Zr2N2O,mp-776363,1.553
BaMg2H8Ru,mp-643451,1.9107
LiVSiO4,mp-766099,1.7576
Mo6PbI14,mp-569225,1.8429999999999995
ThNb4O12,mp-1217373,1.6498
KMgAg2SbS4,mp-2222914,1.9403
TiH20C8(NF3)2,mp-1217199,1.8836
SbO2,mp-1179587,1.7723000000000004
NaAgH2(SO2)2,mp-1196131,1.8718
MgFe6(OF)6,mp-2230309,1.6353
Rb2TlSbCl6,mp-1114002,1.9551
TlSn2F5,mp-1216794,1.9531
Li4Cr7(PO4)6,mp-777610,1.7957
Ca10Al6Si13N30,mp-695592,1.8137
Li2Nb2Fe3O10,mp-753897,1.5600999999999998
KFe(SO4)2,mp-20968,1.8851
