pretty_formula,material_id,band_gap
Li2AgF3,mp-752793,1.9648
CsAgBr2,mp-571100,1.7972
Ba(AgO)2,mp-1096838,1.7273
Ag2W2O7,mp-32537,1.9614000000000005
BiAuCl6,mp-567414,1.6272
H8RuN3Cl5O,mp-1212914,1.8003
K4Na2H18Pd(IO10)2,mp-757218,1.6804
CsAgSb4S7,mp-554408,1.6887
Ag3N5O6,mp-562667,1.9021
NbAgO3,mp-5537,1.7878999999999998
Sm3AuO6,mp-10560,1.7477
Cs3AuO2,mp-572441,1.7399
TaNb(AgO3)2,mp-1217947,1.7114000000000005
K2RuNCl5O,mp-560966,1.7638
Ag2Bi2S3Cl2,mp-559071,1.6367999999999996
CrNiAg2F7,mp-1213740,1.6573999999999998
VAg(SO4)2,mp-1207873,1.6570999999999998
Pt(CN)2,mp-1247533,1.7825
Ag2SeO3,mp-16913,1.7022
Rb2TaAgS4,mp-15217,1.8622
K2OsNCl5,mp-1205451,1.8403
VAg2(PO4)2,mp-19478,1.812
Ru(CO)4,mp-616541,1.927
BaHo2PdO5,mp-9785,1.9437999999999995
RbAuC4S4(OF)12,mp-1200298,1.8291
ZnAgPO4,mp-1216213,1.8947000000000005
Rb2ScAuF6,mp-1110582,1.6982000000000002
LiAuF4,mp-554442,1.9809
Lu2Pt2O7,mp-753414,1.6988999999999996
Na4Al11Si13Ag7O48,mp-695373,1.5011
Li2AgAsF6,mp-1111365,1.8182
K2AgSbCl6,mp-1110873,1.6025
CaPtO6,mp-1365085,1.9818
Pr3AgGeS7,mp-862792,1.8295000000000003
AgAsS2,mp-542609,1.5178999999999996
Gd3AuO6,mp-10559,1.5063
Li5AuO4,mp-757242,1.9588
KAgCO3,mp-672695,1.5687000000000002
HoAgS2,mp-1199297,1.5202
Ir(SeBr3)3,mp-1195337,1.651
K2PdF4,mp-28163,1.8732
AuSO4,mp-30003,1.65
IrCl3,mp-27666,1.897
H2Ru6(CO)17,mp-720808,1.5791
AgN3O4,mp-644729,1.9626
Li2CoAgF6,mp-1111099,1.7043
PdCl2,mp-29487,1.5592
Mn2Ru(CN)6,mp-569321,1.9348
Rb2YAuBr6,mp-1111712,1.6251
H8PtO6,mp-625111,1.6046999999999998
MgZn2AgWO6,mp-2215830,1.8204
Nd5AgS8,mp-37449,1.6121999999999996
Na2YAgF6,mp-1111092,1.6589999999999998
Nd3SiAgS7,mp-864666,1.7708999999999997
Ag2H2C2N6O13,mp-1196868,1.8311
Ba3PtF12,mp-1214989,1.5128
RbAuCl4,mp-569442,1.9363
MgCuAu2,mp-1097319,1.6646999999999998
Ta3AgO8,mp-849326,1.7546
Ba2H6Pt,mp-643253,1.7589
Os2C6SO6,mp-662792,1.9976
VCdAgO4,mp-541708,1.8437
AgMo3(PO7)2,mp-17427,1.9584
LiAuC4S4(OF)12,mp-1201845,1.5318
CaV4(AgO6)2,mp-16967,1.9174
Ca2Mn2V3AgO12,mp-532537,1.8921
BaDy2PdO5,mp-9740,1.7855999999999996
K3Ag9(SbS3)4,mp-1224211,1.6252999999999995
Na5AgGe2S7,mp-1194446,1.7581999999999998
LiAgF2,mp-752525,1.5528
Ba5Pt2O9,mp-29787,1.9294999999999995
K2ScAuF6,mp-1112256,1.5837
Na5Fe3Ag2(As2O7)4,mp-1220973,1.8185
NaAgF4,mp-7386,1.5463999999999998
Sr2Mg(AgO2)2,mp-2228172,1.849
K2PtN4(ClO4)2,mp-669540,1.9353
H24PdC8(NCl2)2,mp-707284,1.8282
Os2(CO)7,mp-28636,1.9918
RhC2ClO2,mp-654105,1.7196
Co2H36Pt3(NCl)12,mp-1195200,1.7355
K2PtS15,mp-652663,1.6801
K2P4PtWClO10,mp-1212425,1.7432999999999998
KMnAg3(CN)6,mp-571384,1.544
Ag2Mo2O7,mp-560276,1.8834
LiAuS,mp-29829,1.5804
B8PH24RhC7,mp-1196243,1.6749999999999998
CsAu2F7,mp-554737,1.7961999999999998
RhPb2F7,mp-14276,1.7702
MnPtF6,mp-557668,1.8416
LiNiRhF6,mp-1222366,1.6961
NbAgO3,mp-1203481,1.7362000000000002
K4Au6S5,mp-29341,1.5841999999999998
CdPdF6,mp-13984,1.7751
Ag6Mo2ClO7F3,mp-553919,1.5595
Rb2BaPt2(CN)8,mp-637582,1.7071
AgP(OF)2,mp-1194585,1.9686
VAg2PO6,mp-558255,1.835
Cs2PdC2,mp-505824,1.7513999999999998
Rb2Ag4Pd3(NO2)12,mp-558305,1.7326
K2Ag2GeS4,mp-558500,1.6880000000000002
AuS3(O3F)3,mp-560021,1.5564
BaNdAgS3,mp-1095616,1.6623
H8PdS8(NO13)2,mp-1194780,1.5619
AgAsS16N16(O4F3)2,mp-1196797,1.8455
ZnH24Au2C12S8(NCl)4,mp-1194676,1.6528
LiGeRhO4,mp-1222349,1.6894999999999998
AgAsS6N4(OF3)2,mp-649756,1.8583
Os3C8SO8,mp-648289,1.7639
H10IrC2(ClO)3,mp-1195804,1.9822
Os2C6SeO6,mp-651026,1.8468
Sn15Os3O14,mp-28456,1.5083000000000002
UVAgO6,mp-622619,1.6036
BaH8PtC4(NO)4,mp-720842,1.835
Cs2Pt,mp-13548,1.6743
H7AuN4O15,mp-1201215,1.9431
Pt(SCl4)2,mp-28721,1.9198
K2AgIrF6,mp-1112282,1.5151999999999997
K2AgAsCl6,mp-1112480,1.519
AlAgS2,mp-5782,1.8992
Rb2AgSbCl6,mp-1110803,1.6275
BH11AuC4IN2,mp-698289,1.9587
Mn2Pt(CO)12,mp-573318,1.7822
Ru4C12N2O13,mp-707955,1.57
NaAg(CO2)2,mp-985610,1.6802
AuCN,mp-29196,1.861
Ca4PdO6,mp-10299,1.8227
Li3RhF6,mp-1212121,1.6630999999999998
Cd(AgI2)2,mp-1025377,1.7741000000000002
Ag3AuS2,mp-34460,1.5633999999999997
FeAgP2O7,mp-1202376,1.8448
ZnAgAu2,mp-1095900,1.6909999999999998
Re2Pt(CO)12,mp-614325,1.8279
Ir2(Se3Cl2)3,mp-1196619,1.5989000000000002
KAuS5,mp-3592,1.7779
