pretty_formula,material_id,band_gap
Li3MnFe3O8,mp-759988,1.5508000000000002
MgFe6(OF)6,mp-2230505,1.5124000000000002
KMnIO6,mp-1294897,1.6860000000000002
Mg4Al9Cu(SiO4)9,mp-695202,1.9945000000000004
Fe4OF8,mp-754705,1.7812000000000001
SnS2,mp-1170,1.5147999999999997
Al2(WO4)3,mp-1374068,1.7529
Li4MnFe2(BO3)4,mp-766479,1.6559000000000001
MgAg2(CO3)2,mp-2239850,1.5001
MgFe(SiO2)2,mp-1222202,1.7073000000000005
K2PAuS4,mp-9509,1.5691000000000002
Re3S4Cl,mp-653579,1.5657999999999999
Rb2NbAgSe4,mp-9764,1.7584
LiFe2(BO3)2,mp-753072,1.9749
Al2W2O7,mp-1342803,1.8038999999999996
WO3,mp-566278,1.6008
Na4Mg(FeO2)4,mp-2229053,1.5852
MgFe8(OF)8,mp-2220495,1.761
MnPb2WO6,mp-1194656,1.6917
Na2MgSn3P4(SO12)2,mp-2714297,1.6911999999999998
Sr10Mg4Fe(MoO6)5,mp-1218897,1.8798
Tl3PSe4,mp-4160,1.5581
K2ZnO2,mp-8187,1.9785000000000001
KSnO2,mp-752538,1.9693
Ca2Mn3Si3H3O14,mp-1214361,1.7368000000000006
Ca(BiO2)2,mp-1347357,1.5892
NaMo3P3O13,mp-1012678,1.5094999999999996
MgFeO2,mp-1394938,1.6185
K2RuN3Cl3O5,mp-710913,1.7325
Na2MgW4O13,mp-2230091,1.8534000000000002
MoPCl5O3,mp-553968,1.9567
Sr2RhF7,mp-541114,1.9751
P3NCl12,mp-569386,1.7954999999999999
Li9Fe3(OF7)2,mp-780155,1.8077999999999999
Ca2SnS4,mp-866520,1.9266
Na5In2SiGe2P5O24,mp-2715936,1.9962999999999997
LiMn2F5,mp-765284,1.7518
ZnBi2(PO5)2,mp-1043490,1.9081000000000001
CaFe3Si2O9,mp-1204015,1.5845
NaIn2Ga2PS5O24,mp-2714275,1.9042000000000001
Mg2MnWO6,mp-1273600,1.8914
K2MgFe4P6(O4F3)4,mp-1234647,1.6915999999999998
MgGe4(MoO6)2,mp-2231396,1.8405000000000002
MgFe2P2(HO)18,mp-24752,1.9284000000000001
TlBr,mp-22875,1.9877
FeHO2,mp-1237867,1.67
NaNbO3,mp-3136,1.5249
Na3CuO2,mp-779545,1.7218999999999998
RbN3,mp-1219567,1.7845
Na12Mg10Ta2Si3(S5O24)3,mp-2713355,1.7485
Bi(W2Cl5)3,mp-569822,1.9545000000000003
TlRe3(S2Cl)2,mp-560005,1.8243
NaAu(SO4)2,mp-561190,1.753
ZnS,mp-1202182,1.9929999999999999
K2Cu(PS3)3,mp-559644,1.9435
Sr4MgFe4O11,mp-2231293,1.8344
NaMg14BiO16,mp-1034357,1.8569000000000004
HRuRh(CO)6,mp-1225095,1.9221
Rb2Ge2Se5,mp-541880,1.54
Li5Cu(PO4)2,mp-26247,1.7933
SeBr,mp-570589,1.5238
TlH12C4Br4N5,mp-568282,1.9466
Na6Nb3Ga5Si6(SO8)6,mp-2714622,1.5681
MgFe4(OF)4,mp-2218410,1.7758000000000003
H32WC8N4Cl7,mp-568081,1.6809
Tl2(IO3)3,mp-978990,1.9192000000000005
